year,bevoegdgezag,bestuur_key,bevoegd_gezagnaam,postcode_bevoegd_gezag,eenpitter,aantal_leerlingen,categorie_bestuuromvang,aantal_gewichtleerlingen,gemiddeld_leerlinggewicht,aandeel_apcg_leerlingen,aandeel_lwoo_leerlingen,aantal_voltijdleerlingen,aantal_deeltijdleerlingen,aantal_leerlingen_vbo_groen,aantal_bol_leerlingen,aantal_bol_deeltijdleerlingen,aantal_bbl_leerlingen,aandeel_leerlingen_randstad,omvang_formatie_totaal,omvang_formatie_manager,omvang_formatie_op,omvang_formatie_lio,omvang_formatie_oop_obp,omvang_formatie_onbekend,leerling_leraar_ratio,gewogen_deelnemer_leraar_ratio,omvang_formatie_op_la,omvang_formatie_op_lb,omvang_formatie_op_lc,omvang_formatie_op_ld,omvang_formatie_op_le,omvang_formatie_op_overig,aandeel_formatie_op_la,aandeel_formatie_op_lb,aandeel_formatie_op_lc,aandeel_formatie_op_ld,aandeel_formatie_op_le,aandeel_formatie_op_overig,streefpercentage_formatie_op_la,streefpercentage_formatie_op_lb,streefpercentage_formatie_op_lc,streefpercentage_formatie_op_ld,streefpercentage_formatie_op_le,streefpercentage_formatie_op_ove,omvang_formatie_op_brutsal,loonsom_op_brutsal,gemiddelde_loonsom_op_brutsal,solvabiliteiti,solvabiliteitii,rentabiliteit,liquiditeitcurrentratio,liquiditeitquickratio,weerstandsvermogenexclusiefmater,weerstandsvermogen,personeelslastenrijksbijdragen,personeelslastentotaalbatenplusf,personeelslastentotaallastenplus,voorzieningentotaalbatenplusfina,rijksbijdragentotaalbatenplusfin,overigeoverheidsbijdragenensubsi,huisvestingsratio,kapitalisatiefactor,algemenereservetotaalbatenplusfi,investeringeninventarisenapparat,nettowerkkapitaal,aantalinstellingen,variatieinlb
2014,41866,41866-2014,Stichting Openbaar Onderwijs Houten,3993,0,1300,2,1339.9,1,0,0,0,0,0,0,0,0,,71.400002,5.6999998,64.099998,0,1.6,0,20.299999,,47.5,16.6,0,0,0,0,74.099998,25.9,0,0,0,0,58,40,2,0,0,0,64.059998,199465.11,3113.6799,.66,.73,-.02,2.77,2.77,.19,.3,.87,.83999997,.82999998,.029999999,.97000003,0,.07,.45,.27,.01,.22,5,1.6991174
2015,41866,41866-2015,Stichting Openbaar Onderwijs Houten,3993,0,1285,2,1323.1,1,0,0,0,0,0,0,0,0,,67.699997,5.5,60.599998,0,1.6,0,21.200001,,44.799999,15.8,0,0,0,0,73.900002,26.1,0,0,0,0,,,,,,,60.619999,191615.7,3161.1299,.59,.7,-.02,2.64,2.64,.18,.26,.83999997,.81999999,.81,.050000001,.98000002,0,.09,.44,.25,.01,.22,5,1.7643696
2016,41866,41866-2016,Stichting Openbaar Onderwijs Houten,3993,0,1287,2,1314.6,1,0,0,0,0,0,0,0,0,,68.599998,6.0999999,60.900002,0,1.7,0,21.1,,45.5,15.4,0,0,0,0,74.699997,25.299999,0,0,0,0,,,,,,,60.869999,200371.47,3291.73,.63,.8,.03,4.08,4.08,.21,.28,.80000001,.77999997,.80000001,.079999998,.97000003,0,.09,.45,.27,.01,.28,5,2.1442947
2017,41866,41866-2017,Stichting Openbaar Onderwijs Houten,3993,0,1283,2,1302.8,1,0,0,0,0,0,0,0,0,,75.400002,5.5,68.099998,0,1.8,0,18.799999,,49.299999,18.799999,0,0,0,0,72.400002,27.6,0,0,0,0,,,,,,,68.110001,222614.91,3268.3999,,,,,,,,,,,,,,,,,,,5,2.5559733
2012,41868,41868-2012,Stichting Talent Westerveld,7991,0,1360,2,1400.5,1,0,0,0,0,0,0,0,0,,85.599998,10.5,72.5,0,2.5999999,0,18.799999,,67.699997,4.8000002,0,0,0,0,93.400002,6.5999999,0,0,0,0,,,,,,,27.860001,79309.227,2847.1001,.83,.85,.06,5.55,5.55,.5,.59,.83999997,.79000002,.82999998,.0099999998,.94999999,.04,.06,.71,.42,.01,.49,9,.5612486
2013,41868,41868-2013,Stichting Talent Westerveld,7991,0,1284,2,1321.8,1,0,0,0,0,0,0,0,0,,90.300003,8.3999996,77.300003,0,4.6999998,0,16.6,,72,5.1999998,0,0,0,0,93.199997,6.8000002,0,0,0,0,,,,,,,77.269997,241793.7,3129.21,.87,.9,.07,8.48,8.48,.58,.64,.81,.76999998,.81999999,.02,.94999999,.01,.08,.74,.46,.01,.57,9,.856511
2014,41868,41868-2014,Stichting Talent Westerveld,7991,0,1199,2,1233.8,1,0,0,0,0,0,0,0,0,,87.5,6.5,74.199997,0,6.8000002,0,16.200001,,51.900002,22.299999,0,0,0,0,69.900002,30.1,0,0,0,0,58,40,2,0,0,0,74.230003,238782.84,3216.8899,.86,.9,-.03,8.42,8.42,.6,.67,.88,.85000002,.81,.029999999,.97000003,.01,.07,.78,.5,.01,.61,9,1.8766844
2015,41868,41868-2015,Stichting Talent Westerveld,7991,0,1154,2,1182.5,1,0,0,0,0,0,0,0,0,,88.5,6.5,73.099998,0,8.8000002,0,15.8,,48.700001,24.4,0,0,0,0,66.599998,33.400002,0,0,0,0,,,,,,,73.120003,238386,3260.3501,.82,.88,-.05,7.11,7.11,.54,.61,.88999999,.86000001,.81999999,.050000001,.95999998,.01,.08,.75,.42,.02,.57,9,1.7491268
2016,41868,41868-2016,Stichting Talent Westerveld,7991,0,1094,2,1120.1,1,0,0,0,0,0,0,0,0,,77.599998,6.9000001,66.599998,0,4.0999999,0,16.4,,45.799999,20.799999,0,0,0,0,68.800003,31.200001,0,0,0,0,,,,,,,66.610001,224870.56,3375.9299,.76,.85,-.01,5.28,5.28,.46,.61,.81999999,.80000001,.80000001,.07,.98000002,.01,.09,.79,.45,.08,.52,9,1.2414149
2017,41868,41868-2017,Stichting Talent Westerveld,7991,0,1045,2,1065.4,1,0,0,0,0,0,0,0,0,,74.099998,5.9000001,63.700001,0,4.5,0,16.4,,39.400002,24.299999,0,0,0,0,61.799999,38.200001,0,0,0,0,,,,,,,63.700001,214091.2,3360.8501,,,,,,,,,,,,,,,,,,,9,.74068284
2012,41869,41869-2012,Stichting Markant Onderwijs,4816,0,2067,2,2277.3,1.1,0,0,0,0,0,0,0,0,,138,8.1999998,121.5,0,8.1999998,0,17,,87,29.200001,5.4000001,0,0,0,71.599998,24,4.4000001,0,0,0,,,,,,,121.53,383537.56,3155.8401,.6800000000000001,.7,-.02,.99,.99,.15,.3,.92000002,.83999997,.81,.0099999998,.91000003,.07,.06,.44,.21,.03,0,8,.72493839
2013,41869,41869-2013,Stichting Markant Onderwijs,4816,0,2010,2,2212.5,1.1,0,0,0,0,0,0,0,0,,135.5,10,117.3,0,8.1999998,0,17.1,,87.300003,24.4,5.5999999,0,0,0,74.400002,20.799999,4.8000002,0,0,0,,,,,,,117.28,370048.28,3155.1499,.69,.71,.02,1.28,1.28,.17,.31,.89999998,.81,.81999999,.0099999998,.89999998,.06,.07,.44,.22,0,.04,8,.98985928
2014,41869,41869-2014,Stichting Markant Onderwijs,4816,0,2046,2,2242.2,1.1,0,0,0,0,0,0,0,0,,136.60001,9.1999998,118.4,0,9.1000004,0,17.299999,,84.400002,28.799999,4.0999999,0,0,1,71.300003,24.299999,3.5,0,0,.80000001,58,40,2,0,0,0,118.36,379011.94,3202.27,.7,.72,-.05,1.32,1.32,.14,.28,.94,.87,.82999998,.0099999998,.94,.01,.06,.4,.22,.02,.04,8,1.5932335
2015,41869,41869-2015,Stichting Markant Onderwijs,4816,0,2093,2,2272.3999,1.1,0,0,0,0,0,0,0,0,,141.2,10.2,122,0,9,0,17.200001,,81,35.900002,4.0999999,0,0,1,66.400002,29.4,3.4000001,0,0,.80000001,,,,,,,121.99,396634.5,3251.3,.63,.66,-.04,1.11,1.11,.09,.23,.91000003,.87,.83999997,.0099999998,.95999998,.01,.06,.36,.19,.02,.01,8,2.4781547
