Bgnum,Naam,LA,LB,LC,LD,LE,Rest,Leraren,Leerlingen,SolvabiliteitI.2016,SolvabiliteitII.2016,Rentabiliteit.2016,Liquiditeitcurrentratio.2016,Liquiditeitquickratio.2016,Weerstandsvermogenexclusiefmateriëlevasteactiva.2016,Weerstandsvermogen.2016,Personeelslastenrijksbijdragen.2016,Personeelslastentotaalbatenplusfinanciëlebaten.2016,Personeelslastentotaallastenplusfinanciëlelasten.2016,Voorzieningentotaalbatenplusfinanciëlebaten.2016,Rijksbijdragentotaalbatenplusfinanciëlebaten.2016,Huisvestingsratio.2016,Investeringenhuisvestingtotaalbatenplusfinanciëlebaten.2016,Kapitalisatiefactor.2016,Nettowerkkapitaal.2016
40581,Stichting Interconfessioneel Basisonderwijs Uithoorn,72.30,27.70,0.00,0.00,0.00,0.00,65.20,1153.00,0.8322579503285150,0.8682047822914800,1.55,6.0492106598227300,6.0492106598227300,57.99,73.17,83.89,80.07,81.33,3.16,95.45,6.94,,0.8758199881734970,58.51
40586,Onderwijsstichting Esprit,58.00,39.80,1.50,0.00,0.00,0.70,137.40,2106.00,0.3826137550633060,0.5195650805081730,1.20,1.7902693112789000,1.7902693112789000,16.03,20.46,90.47,73.27,74.16,7.32,80.99,11.88,,0.5348027383446030,20.31
40632,Ver voor Christelijk Basisonderwijs in de Gemeenten het Bildt en Leeuwarderadeel,86.10,13.90,0.00,0.00,0.00,0.00,43.40,766.00,0.8305304221522330,0.8476194273089450,5.23,3.3548186404678900,3.3548186404678900,27.54,46.20,78.57,74.03,78.11,0.95,94.22,6.12,1.76,0.4794162508567210,19.96
40635,De Ver. Christ. Basisonderwijs Kollumerland c.a.,74.50,25.50,0.00,0.00,0.00,0.00,46.30,873.00,0.5221436588307410,0.8143957157383680,4.72,3.2380744231266800,3.2380744231266800,6.41,26.44,79.97,77.96,81.82,14.80,97.48,5.50,,0.4605782836843890,21.04
40637,Stichting Nutsscholen Breda,79.80,11.80,8.40,0.00,0.00,0.00,99.20,1877.00,0.7325828293873010,0.7671143801924550,6.56,3.1152554902187100,3.1152554902187100,23.61,35.55,83.67,78.77,84.30,1.68,94.14,2.30,,0.4853150174770610,23.91
40655,Ver. Prot.-Chr. Basisonderw. te Hollandscheveld,71.40,28.60,0.00,0.00,0.00,0.00,16.90,302.00,0.9107959147307320,0.9195663908207690,5.03,5.9521069084896400,5.9521069084896400,77.05,108.60,79.30,76.50,80.55,1.05,96.47,5.52,,0.9230959358779710,47.49
40662,Stichting Aves,79.50,20.10,0.40,0.00,0.00,0.00,212.80,3043.00,0.8078006381192060,0.8905933486158850,6.80,4.1781756606224700,4.1781756606224700,31.00,50.58,78.76,75.60,81.12,5.18,96.00,7.07,0.48,0.6055901559908690,21.77
40667,Stichting tot Stichting en Instandhouding van Scholen voor CNS,78.80,21.20,0.00,0.00,0.00,0.00,11.10,207.00,0.6758647272892170,0.7732568465843600,-11.22,3.6187521874635400,3.6187521874635400,49.38,64.93,80.05,77.30,69.50,9.36,96.58,17.75,,0.9606608647984400,57.04
40672,Stg. Initia Kath.Prim.Onderw. voor Dongen en omgeving,79.70,20.30,0.00,0.00,0.00,0.00,70.50,1326.00,0.5147975042423070,0.7688575332896690,0.93,3.1100341912541200,3.1100341912541200,14.86,22.36,85.15,81.82,82.59,11.03,96.10,5.96,,0.4315285843765700,20.88
40681,Stichting voor P-C Onderwijs B.waard L.v.H.&A.&Langstr. eo,76.60,23.40,0.00,0.00,0.00,0.00,33.30,636.00,0.4104155357461840,0.5814833948991060,1.10,1.9395919724763900,1.9214082011648700,-4.59,21.74,86.20,78.53,79.40,9.06,91.10,5.86,,0.3600051347995880,12.06
