BEVOEGD_GEZAGNUMMER,JAAR,Key,BEVOEGD_GEZAGNAAM,POSTCODE_BEVOEGD_GEZAG,EENPITTER,AANTAL_LEERLINGEN,CATEGORIE_BESTUUROMVANG,AANTAL_GEWICHTLEERLINGEN,GEMIDDELD_LEERLINGGEWICHT,AANDEEL_APCG_LEERLINGEN,AANDEEL_LWOO_LEERLINGEN,AANTAL_VOLTIJDLEERLINGEN,AANTAL_DEELTIJDLEERLINGEN,AANTAL_LEERLINGEN_VBO_GROEN,AANTAL_BOL_LEERLINGEN,AANTAL_BOL_DEELTIJDLEERLINGEN,AANTAL_BBL_LEERLINGEN,AANDEEL_LEERLINGEN_RANDSTAD,OMVANG_FORMATIE_TOTAAL,OMVANG_FORMATIE_MANAGER,OMVANG_FORMATIE_OP,OMVANG_FORMATIE_LIO,OMVANG_FORMATIE_OOP_OBP,OMVANG_FORMATIE_ONBEKEND,LEERLING_LERAAR_RATIO,GEWOGEN_DEELNEMER_LERAAR_RATIO,OMVANG_FORMATIE_OP_LA,OMVANG_FORMATIE_OP_LB,OMVANG_FORMATIE_OP_LC,OMVANG_FORMATIE_OP_LD,OMVANG_FORMATIE_OP_LE,OMVANG_FORMATIE_OP_OVERIG,AANDEEL_FORMATIE_OP_LA,AANDEEL_FORMATIE_OP_LB,AANDEEL_FORMATIE_OP_LC,AANDEEL_FORMATIE_OP_LD,AANDEEL_FORMATIE_OP_LE,AANDEEL_FORMATIE_OP_OVERIG,STREEFPERCENTAGE_FORMATIE_OP_LA,STREEFPERCENTAGE_FORMATIE_OP_LB,STREEFPERCENTAGE_FORMATIE_OP_LC,STREEFPERCENTAGE_FORMATIE_OP_LD,STREEFPERCENTAGE_FORMATIE_OP_LE,STREEFPERCENTAGE_FORMATIE_OP_OVERIG,OMVANG_FORMATIE_OP_BRUTSAL,LOONSOM_OP_BRUTSAL,GEMIDDELDE_LOONSOM_OP_BRUTSAL,Solvabiliteit I(%),Solvabiliteit II(%),Rentabiliteit(%),Liquiditeit (current ratio)(%),Liquiditeit (quick ratio)(%),Weerstandsvermogen exclusief materile vaste activa(%),Weerstandsvermogen(%),Personeelslasten / rijksbijdragen(%),Personeelslasten / totaal baten plus financile baten(%),Personeelslasten / totaal lasten plus financile lasten(%),Voorzieningen / totaal baten plus financile baten(%),Rijksbijdragen / totaal baten plus financile baten(%),Overige overheidsbijdragen en -subsidies / totaal baten plus financile baten(%),Huisvestingsratio(%),Kapitalisatiefactor(%),Algemene reserve / totaal baten plus financile baten,Investeringen inventaris en apparatuur / totaal baten plus financile baten(%),Netto werkkapitaal(%),Aantal instellingen,Variatie in LB
62778,2015,62778-2015,Stichting Katholiek Onderwijs Maasland,3155,1,227,1,227.3,1,0,0,0,0,0,0,0,0,,13.9,1.1,12.2,0,0.6,0,18.7,,8.1,4,0,0,0,0,67,33,0,0,0,0,,,,,,,12.16,40110.57,3298.49,0.85,0.89,-0.05,5.06,5.06,0.41,0.77,0.91,0.85,0.82,0.03,0.94,0.02,0.05,0.88,0.57,0.02,0.42,1,0
62778,2016,62778-2016,Stichting Katholiek Onderwijs Maasland,3155,1,212,1,212.3,1,0,0,0,0,0,0,0,0,,13.3,1.1,11.6,0,0.6,0,18.3,,6.8,4.7,0,0,0,0,59,41,0,0,0,0,,,,,,,11.56,39655.29,3431.13,0.86,0.91,0.05,7.14,7.14,0.50,0.82,0.80,0.75,0.80,0.05,0.94,0.02,0.06,0.92,0.59,0.02,0.51,1,0
62778,2017,62778-2017,Stichting Katholiek Onderwijs Maasland,3155,1,230,1,231.5,1,0,0,0,0,0,0,0,0,,14.3,1.1,12.5,0,0.7,0,18.4,,7.8,4.7,0,0,0,0,62.7,37.3,0,0,0,0,,,,,,,12.47,42506.44,3409.13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0
62818,2012,62818-2012,Schoolver. v. Basisonderw. in Wageningen,6708,1,243,1,243.9,1,0,0,0,0,0,0,0,0,,16.5,1,12.4,0,3.1,0,19.6,,9,3.4,0,0,0,0,72.7,27.3,0,0,0,0,,,,,,,12.41,38648.3,3114.59,0.70,0.78,0.03,3.46,3.46,0.21,0.34,0.90,0.80,0.82,0.04,0.88,0.01,0.07,0.47,0.02,0.01,0.23,1,0
62818,2013,62818-2013,Schoolver. v. Basisonderw. in Wageningen,6708,1,243,1,243.9,1,0,0,0,0,0,0,0,0,,15.5,1,11.2,0,3.3,0,21.7,,7.8,3.4,0,0,0,0,69.7,30.3,0,0,0,0,,,,,,,11.18,35153.89,3144.92,0.74,0.82,0.04,4.14,4.14,0.24,0.38,0.85,0.78,0.81,0.04,0.92,0.01,0.06,0.50,0.00,0.03,0.27,1,0
62818,2014,62818-2014,Schoolver. v. Basisonderw. in Wageningen,6708,1,245,1,245.9,1,0,0,0,0,0,0,0,0,,15.5,1,11.1,0,3.4,0,22.1,,7,4.1,0,0,0,0,62.9,37.1,0,0,0,0,58,40,2,0,0,0,11.07,35694,3225.7,0.75,0.82,-0.03,4.14,4.14,0.24,0.38,0.90,0.83,0.81,0.03,0.93,0.01,0.06,0.49,0.38,0.00,0.27,1,0
62818,2015,62818-2015,Schoolver. v. Basisonderw. in Wageningen,6708,1,247,1,247.9,1,0,0,0,0,0,0,0,0,,14.6,1,10,0,3.6,0,24.7,,6,4,0,0,0,0,59.8,40.2,0,0,0,0,,,,,,,10.01,32753.19,3272.7,0.51,0.87,-0.02,6.50,6.50,0.22,0.29,0.80,0.67,0.65,0.20,0.83,0.13,0.25,0.55,0.29,0.01,0.39,1,0
62818,2016,62818-2016,Schoolver. v. Basisonderw. in Wageningen,6708,1,245,1,245.9,1,0,0,0,0,0,0,0,0,,15.7,1,11.3,0,3.4,0,21.7,,6.5,4.8,0,0,0,0,57.6,42.4,0,0,0,0,,,,,,,11.31,38759.53,3427.8,0.57,0.78,-0.04,3.29,3.29,0.13,0.29,0.85,0.81,0.78,0.11,0.95,0.01,0.12,0.44,0.29,0.01,0.24,1,0
62818,2017,62818-2017,Schoolver. v. Basisonderw. in Wageningen,6708,1,244,1,244.9,1,0,0,0,0,0,0,0,0,,17.3,1,12.1,0,4.3,0,20.2,,7.3,4.8,0,0,0,0,60.2,39.8,0,0,0,0,,,,,,,12.06,41528.85,3444.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0
63039,2012,63039-2012,t Blokhuus,3871,1,261,1,264.9,1,0,0,0,0,0,0,0,0,,15.1,1.9,11.8,0,1.4,0,22,,10.8,1,0,0,0,0,91.6,8.4,0,0,0,0,,,,,,,3.8,10319.11,2719.13,0.79,0.90,0.04,7.44,7.44,0.47,0.64,0.86,0.80,0.82,0.09,0.93,0.02,0.06,0.72,0.63,0.01,0.53,1,0
