Bevoegd Gezag,Sector,Groepering,Naam,Jaar,Key,Lonen en salarissen,Sociale lasten,Pensioenlasten,Lasten personeel niet in loondienst,Personeelslasten,Lonen en salarissen/totaal personeel,Sociale lasten/totaal personeel,Pensioenlasten/totaal personeel,Lasten personeel niet in loondienst/totaal personeel,Afschrijvingen op materiÔle vaste activa,Afschrijvingen,Huurlasten,Onderhoudslasten (klein onderhoud),Lasten voor energie en water,Schoonmaakkosten,Belastingen en heffingen,Overige (overige huisvestingslasten),Huisvestingslasten,Administratie- en beheerslasten,Inventaris en apparatuur,Overige (overige overige lasten),Overige lasten,Accountantshonoraria inzake het onderzoek van de jaarrekening,Accountantshonoraria
13662,PO,BO5,Stg. Openb. Onderwijs Present,2015,13662-2015,"5,984,862","743,657","686,600","603,640","7,978,407",0.75,0.09,0.09,0.08,"263,071","263,071",,"85,877","185,554","263,558","32,981","24,071","822,041","201,657","105,140","87,512","663,738","14,882","14,882"
13662,PO,BO5,Stg. Openb. Onderwijs Present,2016,13662-2016,"5,887,266","765,408","653,925","355,641","7,851,278",0.75,0.10,0.08,0.05,"247,905","247,905",692,"83,841","163,242","239,071","34,905","27,244","859,316","187,919","125,624","111,314","708,669","10,691","10,691"
13674,PO,BO5,Stichting Oog,2012,13674-2012,"9,597,280","1,980,132","1,310,985","615,138","12,969,551",0.74,0.15,0.10,0.05,"393,182","393,182","46,160","48,385","255,663","287,248","38,563","154,391","1,022,863","523,257","618,557","258,322","1,400,136",,
13674,PO,BO5,Stichting Oog,2013,13674-2013,"9,331,168","1,643,433","1,335,773","880,858","13,028,579",0.72,0.13,0.10,0.07,"335,702","335,702","70,576","196,035","209,998","300,164","40,202","144,979","961,954","457,941","662,297","231,261","1,351,499",,
13674,PO,BO5,Stichting Oog,2014,13674-2014,"9,226,167","1,919,700","1,312,985","426,701","12,629,201",0.73,0.15,0.10,0.03,"398,865","398,865","57,936","254,443","237,496","300,422","37,225","148,844","1,036,366","215,959","631,212","244,183","1,091,354",,
13674,PO,BO5,Stichting Oog,2015,13674-2015,"9,442,262","942,092","1,128,051","199,010","12,570,017",0.75,0.07,0.09,0.02,"482,653","482,653","56,232","174,793","180,946","286,304","35,494","298,154","1,031,923","198,632","711,892","253,141","1,163,665","20,599","20,599"
13674,PO,BO5,Stichting Oog,2016,13674-2016,"9,332,016","1,746,016","1,049,808","222,166","12,543,123",0.74,0.14,0.08,0.02,"475,852","475,852","71,214","150,644","248,179","298,463","33,066","260,880","1,062,446","231,364","668,209","218,712","1,118,285","17,318","17,318"
13682,PO,BO3,Openbaar Prim. Onderw. Oegstg.,2012,13682-2012,"3,970,151","411,271","490,752","37,541","4,756,842",0.83,0.09,0.10,0.01,"128,872","128,872",,"16,370","91,812","129,066","5,372","72,758","451,099","132,498","299,002",,"431,500","9,438","9,438"
13682,PO,BO3,Openbaar Prim. Onderw. Oegstg.,2013,13682-2013,"3,782,196","423,881","504,410","45,836","4,685,032",0.81,0.09,0.11,0.01,"132,008","132,008",,"1,721","119,349","128,750","4,477","33,930","419,227","127,417","401,380",,"528,797","9,716","9,716"
13682,PO,BO3,Openbaar Prim. Onderw. Oegstg.,2014,13682-2014,"3,848,353","443,656","491,420","111,546","4,753,229",0.81,0.09,0.10,0.02,"159,414","159,414",,507,"83,870","132,034","19,183","9,873","376,467","114,601","361,507",,"476,108","9,983","9,983"
