BEVOEGD_GEZAGNUMMER,JAAR,key,BEVOEGD_GEZAGNAAM,POSTCODE_BEVOEGD_GEZAG,EENPITTER,AANTAL_LEERLINGEN,CATEGORIE_BESTUUROMVANG,AANTAL_GEWICHTLEERLINGEN,GEMIDDELD_LEERLINGGEWICHT,AANDEEL_APCG_LEERLINGEN,AANDEEL_LWOO_LEERLINGEN,AANTAL_VOLTIJDLEERLINGEN,AANTAL_DEELTIJDLEERLINGEN,AANTAL_LEERLINGEN_VBO_GROEN,AANTAL_BOL_LEERLINGEN,AANTAL_BOL_DEELTIJDLEERLINGEN,AANTAL_BBL_LEERLINGEN,AANDEEL_LEERLINGEN_RANDSTAD,OMVANG_FORMATIE_TOTAAL,OMVANG_FORMATIE_MANAGER,OMVANG_FORMATIE_OP,OMVANG_FORMATIE_LIO,OMVANG_FORMATIE_OOP_OBP,OMVANG_FORMATIE_ONBEKEND,LEERLING_LERAAR_RATIO,GEWOGEN_DEELNEMER_LERAAR_RATIO,OMVANG_FORMATIE_OP_LA,OMVANG_FORMATIE_OP_LB,OMVANG_FORMATIE_OP_LC,OMVANG_FORMATIE_OP_LD,OMVANG_FORMATIE_OP_LE,OMVANG_FORMATIE_OP_OVERIG,AANDEEL_FORMATIE_OP_LA,AANDEEL_FORMATIE_OP_LB,AANDEEL_FORMATIE_OP_LC,AANDEEL_FORMATIE_OP_LD,AANDEEL_FORMATIE_OP_LE,AANDEEL_FORMATIE_OP_OVERIG,STREEFPERCENTAGE_FORMATIE_OP_LA,STREEFPERCENTAGE_FORMATIE_OP_LB,STREEFPERCENTAGE_FORMATIE_OP_LC,STREEFPERCENTAGE_FORMATIE_OP_LD,STREEFPERCENTAGE_FORMATIE_OP_LE,STREEFPERCENTAGE_FORMATIE_OP_OVERIG,OMVANG_FORMATIE_OP_BRUTSAL,LOONSOM_OP_BRUTSAL,GEMIDDELDE_LOONSOM_OP_BRUTSAL,Solvabiliteit I(%),Solvabiliteit II(%),Rentabiliteit(%),Liquiditeit (current ratio)(%),Liquiditeit (quick ratio)(%),Weerstandsvermogen exclusief materiÔle vaste activa(%),Weerstandsvermogen(%),Personeelslasten / rijksbijdragen(%),Personeelslasten / totaal baten plus financiÔle baten(%),Personeelslasten / totaal lasten plus financiÔle lasten(%),Voorzieningen / totaal baten plus financiÔle baten(%),Rijksbijdragen / totaal baten plus financiÔle baten(%),Overige overheidsbijdragen en -subsidies / totaal baten plus financiÔle baten(%),Huisvestingsratio(%),Kapitalisatiefactor(%),Algemene reserve / totaal baten plus financiÔle baten,Investeringen inventaris en apparatuur / totaal baten plus financiÔle baten(%),Netto werkkapitaal(%),Aantal instellingen,Variatie in LB
41851,2012,41851-2012,Stichting Openbaar onderwijs Baasis,9471,0,2766,3,2778,1,0,0,0,0,0,0,0,0,,179.3,18.1,150.6,0,10.6,0,18.4,,136.3,14.3,0,0,0,0,90.5,9.5,0,0,0,0,,,,,,,59.13,171340.2,2897.86,0.47,0.7,-0.08,1.61,1.61,0.01,0.13,0.98,0.88,0.82,0.06,0.9,0.06,0.06,0.28,0.1,0.01,0.05,13,1.089342309
41851,2013,41851-2013,Stichting Openbaar onderwijs Baasis,9471,0,2701,3,2732.2,1,0,0,0,0,0,0,0,0,,182.8,18.2,150.1,0,14.5,0,18,,136.8,13.3,0,0,0,0,91.1,8.9,0,0,0,0,,,,,,,150.1,471543.46,3141.53,0.49,0.72,0.05,2.11,2.11,0.05,0.16,0.84,0.77,0.81,0.07,0.92,0.05,0.08,0.32,0.13,0.02,0.1,13,1.471481026
41851,2014,41851-2014,Stichting Openbaar onderwijs Baasis,9471,0,2671,3,2703.7,1,0,0,0,0,0,0,0,0,,176,17.2,144.1,0,14.7,0,18.5,,130.8,13.3,0,0,0,0,90.8,9.2,0,0,0,0,58,40,2,0,0,0,144.11,460283.54,3193.93,0.44,0.67,-0.02,1.78,1.78,0.04,0.15,0.91,0.85,0.83,0.08,0.93,0.03,0.06,0.33,0.13,0.02,0.09,13,1.456682215
41851,2015,41851-2015,Stichting Openbaar onderwijs Baasis,9471,0,2595,3,2628,1,0,0,0,0,0,0,0,0,,178.6,14.6,152.4,0,11.5,0,17,,138.8,13.6,0,0,0,0,91.1,8.9,0,0,0,0,,,,,,,152.43,491746.73,3226.07,0.47,0.72,0.01,2.19,2.19,0.05,0.16,0.86,0.8,0.81,0.08,0.93,0.03,0.08,0.33,0.14,0.01,0.11,13,1.552169697
41851,2016,41851-2016,Stichting Openbaar onderwijs Baasis,9471,0,2570,3,2601.2,1,0,0,0,0,0,0,0,0,,177.3,12.8,152.5,0,12.1,0,16.9,,130.6,21.9,0,0,0,0,85.6,14.4,0,0,0,0,,,,,,,152.47,511393.05,3354,0.46,0.69,0.03,2.17,2.17,0.08,0.18,0.84,0.8,0.82,0.09,0.95,0.02,0.07,0.4,0.17,0.02,0.15,13,3.385224304
41852,2012,41852-2012,Stichting Zaan Primair voor OP/Voortg. Spec. Onderw.,1504,0,6571,3,7399.3,1.1,0,0,0,0,0,0,0,0,,455.4,39.2,339.4,0,76.8,0,19.4,,286.1,51.3,2,0,0,0,84.3,15.1,0.6,0,0,0,,,,,,,339.44,1067728.42,3145.53,0.47,0.52,0,1.08,1.08,0,0.12,0.95,0.86,0.86,0.01,0.91,0.03,0.05,0.25,0.1,0.03,0.01,22,5.184618276
41852,2013,41852-2013,Stichting Zaan Primair voor OP/Voortg. Spec. Onderw.,1504,0,6352,3,7089.7,1.1,0,0,0,0,0,0,0,0,,448.4,38.5,333.9,0,75.9,0,19,,267.8,64.9,1.2,0,0,0,80.2,19.4,0.4,0,0,0,,,,,,,333.94,1054070.67,3156.43,0.55,0.61,0.03,1.43,1.43,0.03,0.15,0.89,0.82,0.85,0.02,0.92,0.03,0.05,0.27,0.12,0.03,0.05,22,4.240176883
41852,2014,41852-2014,Stichting Zaan Primair voor OP/Voortg. Spec. Onderw.,1504,0,6257,3,6896.6,1.1,0,0,0,0,0,0,0,0,,455.1,34.2,341.4,0,79.5,0,18.3,,262.6,75.2,3.6,0,0,0,76.9,22,1.1,0,0,0,58,40,2,0,0,0,341.42,1082099.99,3169.44,0.48,0.54,0,1.35,1.35,0.04,0.16,0.91,0.85,0.85,0.02,0.93,0.02,0.05,0.33,0.12,0.02,0.05,22,4.132666613
41852,2015,41852-2015,Stichting Zaan Primair voor OP/Voortg. Spec. Onderw.,1504,0,6265,3,6859.3,1.1,0,0,0,0,0,0,0,0,,466.4,36.4,347.2,0.4,82.3,0,18,,263,79.4,4.9,0,0,0,75.7,22.9,1.4,0,0,0,,,,,,,347.23,1108895.92,3193.5,0.52,0.59,0.01,1.47,1.47,0.04,0.16,0.89,0.84,0.85,0.02,0.94,0.03,0.06,0.25,0.12,0,0.06,22,3.819349857
41852,2016,41852-2016,Stichting Zaan Primair voor OP/Voortg. Spec. Onderw.,1504,0,6262,3,6760.3,1.1,0,0,0,0,0,0,0,0,,484.4,37.7,356.8,0.4,89.5,0,17.5,,268.3,81.7,6.8,0,0,0,75.2,22.9,1.9,0,0,0,,,,,,,356.84,1173069.93,3287.34,0.54,0.59,0,1.17,1.17,0.01,0.16,0.9,0.85,0.85,0.01,0.95,0.03,0.06,0.22,0.12,0,0.02,22,4.437330278
41853,2012,41853-2012,Stichting Spaarnesant,2034,0,5989,3,6740.8,1.1,0,0,0,0,0,0,0,0,,412.3,27.6,326.7,1.2,56.8,0,18.3,,271.9,54.7,0,0,0,0,83.2,16.8,0,0,0,0,,,,,,,326.67,985945.94,3018.16,0.64,0.72,0.02,2.72,2.72,0.17,0.25,0.92,0.8,0.82,0.03,0.87,0.05,0.1,0.38,0.02,0.01,0.18,15,8.32955897
41853,2013,41853-2013,Stichting Spaarnesant,2034,0,6029,3,6743.9,1.1,0,0,0,0,0,0,0,0,,377.8,28.6,293.1,3.1,53,0,20.6,,221,72.1,0,0,0,0,75.4,24.6,0,0,0,0,,,,,,,293.07,902076.56,3078.02,0.53,0.58,0.02,1.85,1.85,0.18,0.25,0.92,0.76,0.77,0.02,0.82,0.1,0.15,0.45,0.24,0.01,0.17,15,6.157614029
41853,2014,41853-2014,Stichting Spaarnesant,2034,0,6145,3,6785.8,1.1,0,0,0,0,0,0,0,0,,397.9,27.1,308.2,1.5,61.2,0,19.9,,225.4,82.7,0,0,0,0,73.2,26.8,0,0,0,0,58,40,2,0,0,0,308.15,961271.26,3119.49,0.65,0.71,-0.03,2.33,2.33,0.14,0.24,0.94,0.79,0.77,0.02,0.85,0.09,0.14,0.34,0.22,0.02,0.14,15,5.573895926
